fullName,organizations,location,status,typeOfDeath,Date,mtpage,type,motiveConfirmed,charges,Year
Carlos Salgado,Radio Cadena Voces,Honduras,Killed,Murder,2007-10-18,https://cpj.org/data/people/carlos-salgado/,Journalist,Confirmed,,2007
Carsten Thomassen,Dagbladet,Afghanistan,Killed,Dangerous Assignment,2008-01-14,https://cpj.org/data/people/carsten-thomassen/,Journalist,Confirmed,,2008
Cecilio Pineda Birto,Freelance,Mexico,Killed,Murder,2017-03-02,https://cpj.org/data/people/cecilio-pineda-birto/,Journalist,Confirmed,,2017
Cengiz Altun,Yeni Ülke,Turkey,Killed,Murder,1992-02-24,https://cpj.org/data/people/cengiz-altun/,Journalist,Confirmed,,1992
Cetin Abayay,Ozgur Halk,Turkey,Killed,Murder,1992-07-29,https://cpj.org/data/people/cetin-abayay/,Journalist,Confirmed,,1992
Chalee Boonsawat,Thai Rath,Thailand,Killed,Dangerous Assignment,2008-08-21,https://cpj.org/data/people/chalee-boonsawat/,Journalist,Confirmed,,2008
Chan Dara,Koh Santepheap,Cambodia,Killed,Murder,1994-12-08,https://cpj.org/data/people/chan-dara/,Journalist,Confirmed,,1994
Chandan Tiwari,Aj Newspaper,India,Killed,Murder,2018-10-30,https://cpj.org/data/people/chandan-tiwari/,Journalist,Confirmed,,2018
Charles Bideri-Munyangabe,Le Messager,Rwanda,Killed,Murder,1994-04-11,https://cpj.org/data/people/charles-bideri-munyangabe/,Journalist,Confirmed,,1994
Charles Karinganire,Le Flambeau,Rwanda,Killed,Murder,1994-04-24,https://cpj.org/data/people/charles-karinganire/,Journalist,Confirmed,,1994
Chauncey Bailey,Oakland Post,USA,Killed,Murder,2007-08-02,https://cpj.org/data/people/chauncey-bailey/,Journalist,Confirmed,,2007
Chennakeshavalu,EV5,India,Killed,Murder,2021-08-08,https://cpj.org/data/people/chennakeshavalu/,Journalist,Confirmed,,2021
Chet Duong Daravuth,Neak Prayuth,Cambodia,Killed,Dangerous Assignment,1997-03-30,https://cpj.org/data/people/chet-duong-daravuth/,Journalist,Confirmed,,1997
Chief Ebrima Manneh,Daily Observer,Gambia,Killed,Unknown,2009-01-01,https://cpj.org/data/people/chief-ebrima-manneh/,Journalist,Confirmed,,2009
Chingiz Fuad-ogly Mustafayev,DR-Press,Azerbaijan,Killed,Crossfire,1992-06-15,https://cpj.org/data/people/chingiz-fuad-ogly-mustafayev/,Journalist,Confirmed,,1992
Chishti Mujahid,Akbar-e-Jehan,Pakistan,Killed,Murder,2008-02-09,https://cpj.org/data/people/chishti-mujahid/,Journalist,Confirmed,,2008
Chou Chetharith,Ta Prum,Cambodia,Killed,Murder,2003-10-18,https://cpj.org/data/people/chou-chetharith/,Journalist,Confirmed,,2003
Chris Hondros,Getty Images,Libya,Killed,Crossfire,2011-04-20,https://cpj.org/data/people/chris-hondros/,Journalist,Confirmed,,2011
Christian Gregorio Poveda Ruiz,Freelance,El Salvador,Killed,Murder,2009-09-02,https://cpj.org/data/people/christian-gregorio-poveda-ruiz/,Journalist,Confirmed,,2009
Christian Liebig,Focus,Iraq,Killed,Crossfire,2003-04-07,https://cpj.org/data/people/christian-liebig/,Journalist,Confirmed,,2003
Christian Struwe,Freelance,Afghanistan,Killed,Murder,2006-10-07,https://cpj.org/data/people/christian-struwe/,Journalist,Confirmed,,2006
Christoff Griffith,The Nation,Barbados,Killed,Dangerous Assignment,2020-06-22,https://cpj.org/data/people/christoff-griffith/,Journalist,Confirmed,,2020
Christopher Allen,Freelance,South Sudan,Killed,Crossfire,2017-08-26,https://cpj.org/data/people/christopher-allen/,Journalist,Confirmed,,2017
Christopher Guarin,Radyo Mo Nationwide and Tatak News,Philippines,Killed,Murder,2012-01-05,https://cpj.org/data/people/christopher-guarin/,Journalist,Confirmed,,2012
Christopher Iban Lozada,DBXF Prime Broadcasting Network,Philippines,Killed,Murder,2017-10-24,https://cpj.org/data/people/christopher-iban-lozada/,Journalist,Confirmed,,2017
Cihan Hayırsevener,Güney Marmara’da Yaşam,Turkey,Killed,Murder,2009-12-19,https://cpj.org/data/people/cihan-hayirsevener/,Journalist,Confirmed,,2009
Claude Verlon,Radio France Internationale,Mali,Killed,Murder,2013-11-02,https://cpj.org/data/people/claude-verlon/,Journalist,Confirmed,,2013
Clodomiro Castilla Ospino,El Pulso del Tiempo,Colombia,Killed,Murder,2010-03-19,https://cpj.org/data/people/clodomiro-castilla-ospino/,Journalist,Confirmed,,2010
Conrad Roy,Expo Times,Sierra Leone,Killed,Dangerous Assignment,1999-04-30,https://cpj.org/data/people/conrad-roy/,Journalist,Confirmed,,1999
Cris Bundoquin,DWXR 101.7 Kalahi FM; MUX Online Radio,Philippines,Killed,Murder,2023-05-31,https://cpj.org/data/people/cris-bundoquin/,Journalist,Confirmed,,2023
Crispin Perez,DWDO Radio,Philippines,Killed,Murder,2009-06-09,https://cpj.org/data/people/crispin-perez/,Journalist,Confirmed,,2009
Cynthia Elbaum,Freelancer,Russia,Killed,Crossfire,1994-12-22,https://cpj.org/data/people/cynthia-elbaum/,Journalist,Confirmed,,1994
Daif al-Gahzal al-Shuhaibi,Freelance,Libya,Killed,Murder,2005-06-02,https://cpj.org/data/people/daif-al-gahzal-al-shuhaibi/,Journalist,Confirmed,,2005
Dalia Marko,Raja FM,South Sudan,Killed,Murder,2015-01-25,https://cpj.org/data/people/dalia-marko/,Journalist,Confirmed,,2015
Dan Eldon,Reuters,Somalia,Killed,Murder,1993-07-12,https://cpj.org/data/people/dan-eldon/,Journalist,Confirmed,,1993
Daniel Pearl,The Wall Street Journal,Pakistan,Killed,Murder,2002-01-01,https://cpj.org/data/people/daniel-pearl/,Journalist,Confirmed,,2002
Danilo López,Prensa Libre,Guatemala,Killed,Murder,2015-03-10,https://cpj.org/data/people/danilo-lopez/,Journalist,Confirmed,,2015
Danilo Vergara,Philippine Post,Philippines,Killed,Murder,1992-07-01,https://cpj.org/data/people/danilo-vergara/,Journalist,Confirmed,,1992
Danish Siddiqui,Reuters,Afghanistan,Killed,Crossfire,2021-07-16,https://cpj.org/data/people/danish-siddiqui/,Journalist,Confirmed,,2021
Danny Hernandez,People's Journal Tonight,Philippines,Killed,Murder,1997-06-03,https://cpj.org/data/people/danny-hernandez/,Journalist,Confirmed,,1997
Daphne Caruana Galizia,Running Commentary,Malta,Killed,Murder,2017-10-16,https://cpj.org/data/people/daphne-caruana-galizia/,Journalist,Confirmed,,2017
Dario D'Angelo,RAI-TV,Bosnia,Killed,Crossfire,1994-01-28,https://cpj.org/data/people/dario-dangelo/,Journalist,Confirmed,,1994
Darío Fernández Jaén,Radio Mi Favorita,Panama,Killed,Murder,2011-11-06,https://cpj.org/data/people/dario-fernandez-jaen/,Journalist,Confirmed,,2011
Daud Ali Omar,Radio Baidoa,Somalia,Killed,Murder,2015-04-29,https://cpj.org/data/people/daud-ali-omar/,Journalist,Confirmed,,2015
Daudi Mwangosi,Channel Ten,Tanzania,Killed,Dangerous Assignment,2012-09-02,https://cpj.org/data/people/daudi-mwangosi/,Journalist,Confirmed,,2012
David Beriain,93 Metros,Burkina Faso,Killed,Murder,2021-04-26,https://cpj.org/data/people/david-beriain/,Journalist,Confirmed,,2021
David Bolkvadze,Worldwide Television News,Georgia,Killed,Crossfire,1993-10-28,https://cpj.org/data/people/david-bolkvadze/,Journalist,Confirmed,,1993
David Gilkey,National Public Radio,Afghanistan,Killed,Crossfire,2016-06-05,https://cpj.org/data/people/david-gilkey/,Journalist,Confirmed,,2016
David Kaplan,ABC News,Bosnia,Killed,Crossfire,1992-08-13,https://cpj.org/data/people/david-kaplan/,Journalist,Confirmed,,1992
David Meza Montesinos,"Radio El Patio, Radio America, Channel 45",Honduras,Killed,Murder,2010-03-11,https://cpj.org/data/people/david-meza-montesinos/,Journalist,Confirmed,,2010
Décio Sá,O Estado do Maranhão and Blog do Décio,Brazil,Killed,Murder,2012-04-23,https://cpj.org/data/people/decio-sa/,Journalist,Confirmed,,2012
Dekendra Raj Thapa,Radio Nepal,Nepal,Killed,Murder,2004-08-11,https://cpj.org/data/people/dekendra-raj-thapa/,Journalist,Confirmed,,2004
Dennis Cuesta,DXMD,Philippines,Killed,Murder,2008-08-09,https://cpj.org/data/people/dennis-cuesta/,Journalist,Confirmed,,2008
Dennis Denora,Trends and Times,Philippines,Killed,Murder,2018-06-07,https://cpj.org/data/people/dennis-denora/,Journalist,Confirmed,,2018
Desidario Camangyan,Sunrise FM,Philippines,Killed,Murder,2010-06-14,https://cpj.org/data/people/desidario-camangyan/,Journalist,Confirmed,,2010
Deyda Hydara,The Point,Gambia,Killed,Murder,2004-12-16,https://cpj.org/data/people/deyda-hydara/,Journalist,Confirmed,,2004
Dhan Bahadur Rokka Magar,Radio Nepal,Nepal,Killed,Murder,2003-01-30,https://cpj.org/data/people/dhan-bahadur-rokka-magar/,Journalist,Confirmed,,2003
Dharmeratnam Sivaram,TamilNet and Daily Mirror,Sri Lanka,Killed,Murder,2005-04-29,https://cpj.org/data/people/dharmeratnam-sivaram/,Journalist,Confirmed,,2005
Dhia Najim,Freelance,Iraq,Killed,Crossfire,2004-11-01,https://cpj.org/data/people/dhia-najim/,Journalist,Confirmed,,2004
Dilshan Ibash,Hawar News Agency (ANHA),Syria,Killed,Crossfire,2017-10-12,https://cpj.org/data/people/dilshan-ibash/,Journalist,Confirmed,,2017
Dina Mohammed Hassan,Al-Hurriya,Iraq,Killed,Murder,2004-10-14,https://cpj.org/data/people/dina-mohammed-hassan/,Journalist,Confirmed,,2004
Dindo Generoso,DyEM 96.7 FM Bai Radio,Philippines,Killed,Murder,2019-11-07,https://cpj.org/data/people/dindo-generoso/,Journalist,Confirmed,,2019
Dinesh Pathak,Sandesh,India,Killed,Murder,1993-05-22,https://cpj.org/data/people/dinesh-pathak/,Journalist,Confirmed,,1993
Djalma Santos da Conceição,RCA FM,Brazil,Killed,Murder,2015-05-22,https://cpj.org/data/people/djalma-santos-da-conceicao/,Journalist,Confirmed,,2015
Djamel Bouhidel,Nouveau Tell,Algeria,Killed,Murder,1993-10-05,https://cpj.org/data/people/djamel-bouhidel/,Journalist,Confirmed,,1993
Djamel Derraz,Le Soir d'Algérie,Algeria,Killed,Murder,1996-02-11,https://cpj.org/data/people/djamel-derraz/,Journalist,Confirmed,,1996
Djamel Ziater,El-Djoumhouria,Algeria,Killed,Murder,1995-02-17,https://cpj.org/data/people/djamel-ziater/,Journalist,Confirmed,,1995
Djilali Arabidou,Algérie-Actualité,Algeria,Killed,Murder,1996-03-12,https://cpj.org/data/people/djilali-arabidou/,Journalist,Confirmed,,1996
Dmitry Chebotayev,Freelance,Iraq,Killed,Crossfire,2007-05-06,https://cpj.org/data/people/dmitry-chebotayev/,Journalist,Confirmed,,2007
Dmitry Kholodov,Moskovsky Komsomolets,Russia,Killed,Murder,1994-10-17,https://cpj.org/data/people/dmitry-kholodov/,Journalist,Confirmed,,1994
Dmitry Krikoryants,Expresskhronika,Russia,Killed,Murder,1993-04-14,https://cpj.org/data/people/dmitry-krikoryants/,Journalist,Confirmed,,1993
Dmitry Popkov,Ton-M,Russia,Killed,Murder,2017-05-24,https://cpj.org/data/people/dmitry-popkov/,Journalist,Confirmed,,2017
Dmitry Zavadsky,ORT,Belarus,Killed,Murder,2003-11-28,https://cpj.org/data/people/dmitry-zavadsky/,Journalist,Confirmed,,2003
Dolores Guadalupe García Escamilla,Stereo 91,Mexico,Killed,Murder,2005-04-16,https://cpj.org/data/people/dolores-guadalupe-garcia-escamilla/,Journalist,Confirmed,,2005
Dom Phillips,Freelance,Brazil,Killed,Murder,2022-06-05,https://cpj.org/data/people/dom-phillips/,Journalist,Confirmed,,2022
Domingos Sávio Brandão Lima Júnior,Folha do Estado,Brazil,Killed,Murder,2002-09-30,https://cpj.org/data/people/domingos-savio-brandao-lima-junior/,Journalist,Confirmed,,2002
Dominique Lonneux,Freelance,Bosnia,Killed,Crossfire,1993-06-02,https://cpj.org/data/people/dominique-lonneux/,Journalist,Confirmed,,1993
Dona St. Plite,"WKAT, Miami",USA,Killed,Murder,1993-10-24,https://cpj.org/data/people/dona-st-plite/,Journalist,Confirmed,,1993
Duaa Jabbour,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-09,https://cpj.org/data/people/duaa-jabbour/,Journalist,Confirmed,,2023
Duaa Sharaf,Radio Al-Aqsa,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-26,https://cpj.org/data/people/duaa-sharaf/,Journalist,Confirmed,,2023
Dumesky Kersaint,Radio-Télé INUREP,Haiti,Killed,Murder,2023-04-16,https://cpj.org/data/people/dumesky-kersaint/,Journalist,Confirmed,,2023
Duniya Muhyadin Nur,Capital Voice,Somalia,Killed,Dangerous Assignment,2005-06-05,https://cpj.org/data/people/duniya-muhyadin-nur/,Journalist,Confirmed,,2005
Duraid Isa Mohammed,CNN,Iraq,Killed,Crossfire,2004-01-27,https://cpj.org/data/people/duraid-isa-mohammed/,Journalist,Confirmed,,2004
Dusko Jovanovic,Dan,Montenegro,Killed,Murder,2004-05-28,https://cpj.org/data/people/dusko-jovanovic/,Journalist,Confirmed,,2004
Dwijamani Singh,Prime News,India,Killed,Dangerous Assignment,2012-12-23,https://cpj.org/data/people/dwijamani-singh/,Journalist,Confirmed,,2012
Dylan Lyons,Spectrum News 13,USA,Killed,Dangerous Assignment,2023-02-22,https://cpj.org/data/people/dylan-lyons/,Journalist,Confirmed,,2023
Ebrahim Zalzadeh,Mayar,Iran,Killed,Murder,1997-02-22,https://cpj.org/data/people/ebrahim-zalzadeh/,Journalist,Confirmed,,1997
Edgar Damalerio,Zamboanga Scribe and DXKP Radio,Philippines,Killed,Murder,2002-05-13,https://cpj.org/data/people/edgar-damalerio/,Journalist,Confirmed,,2002
Edgar Daniel Esqueda Castro,Freelance,Mexico,Killed,Murder,2017-10-01,https://cpj.org/data/people/edgar-daniel-esqueda-castro/,Journalist,Confirmed,,2017
Edgar Lopes de Faria,FM Capital,Brazil,Killed,Murder,1997-10-29,https://cpj.org/data/people/edgar-lopes-de-faria/,Journalist,Confirmed,,1997
Edgar Pantaleón Fernández Fleitas,Belén Comunicaciones,Paraguay,Killed,Murder,2014-06-19,https://cpj.org/data/people/edgar-pantaleon-fernandez-fleitas/,Journalist,Confirmed,,2014
Edinaldo Filgueira,Jornal o Serrano,Brazil,Killed,Murder,2011-06-15,https://cpj.org/data/people/edinaldo-filgueira/,Journalist,Confirmed,,2011
Édison Alberto Molina,Puerto Berrío Stereo,Colombia,Killed,Murder,2013-09-11,https://cpj.org/data/people/edison-alberto-molina/,Journalist,Confirmed,,2013
Eduard Markevich,Novy Reft,Russia,Killed,Murder,2001-09-18,https://cpj.org/data/people/eduard-markevich/,Journalist,Confirmed,,2001
Eduardo Carvalho,Última Hora News,Brazil,Killed,Murder,2012-11-21,https://cpj.org/data/people/eduardo-carvalho/,Journalist,Confirmed,,2012
Eduardo Dizon,Brigada News FM,Philippines,Killed,Murder,2019-07-10,https://cpj.org/data/people/eduardo-dizon/,Journalist,Confirmed,,2019
Edward Chikomba,Zimbabwe Broadcasting Corporation (former),Zimbabwe,Killed,Murder,2007-03-31,https://cpj.org/data/people/edward-chikomba/,Journalist,Confirmed,,2007
Edward Smith,BBC,Sierra Leone,Killed,Crossfire,1998-04-13,https://cpj.org/data/people/edward-smith/,Journalist,Confirmed,,1998
Efraín Varela Noriega,Radio Meridiano-70,Colombia,Killed,Murder,2002-06-28,https://cpj.org/data/people/efrain-varela-noriega/,Journalist,Confirmed,,2002
Ejaz Raisani,Samaa TV,Pakistan,Killed,Dangerous Assignment,2010-09-06,https://cpj.org/data/people/ejaz-raisani/,Journalist,Confirmed,,2010
Ejazul Haq,City-42 TV,Pakistan,Killed,Dangerous Assignment,2010-05-28,https://cpj.org/data/people/ejazul-haq/,Journalist,Confirmed,,2010
El-Hadj Mohamed Diallo,"Guinée7, Afrik",Guinea,Killed,Dangerous Assignment,2016-02-05,https://cpj.org/data/people/el-hadj-mohamed-diallo/,Journalist,Confirmed,,2016
Eldy Sablas (aka Eldy Gabinales),Radio DXJR-FM,Philippines,Killed,Murder,2004-10-19,https://cpj.org/data/people/eldy-sablas-aka-eldy-gabinales/,Journalist,Confirmed,,2004
Elidio Ramos Zárate,El Sur,Mexico,Killed,Murder,2016-06-19,https://cpj.org/data/people/elidio-ramos-zarate/,Journalist,Confirmed,,2016
Eliseo Barrón Hernández,La Opinión,Mexico,Killed,Murder,2009-05-25,https://cpj.org/data/people/eliseo-barron-hernandez/,Journalist,Confirmed,,2009
Elmar Huseynov,Monitor,Azerbaijan,Killed,Murder,2005-03-02,https://cpj.org/data/people/elmar-huseynov/,Journalist,Confirmed,,2005
Elpidio Binoya,Radyo Natin,Philippines,Killed,Murder,2004-06-17,https://cpj.org/data/people/elpidio-binoya/,Journalist,Confirmed,,2004
Elpidio Inacio,Televisao Popular de Angola,Angola,Killed,Crossfire,1993-08-23,https://cpj.org/data/people/elpidio-inacio/,Journalist,Confirmed,,1993
Elsa Cayat,Freelance,France,Killed,Murder,2015-01-07,https://cpj.org/data/people/elsa-cayat/,Journalist,Confirmed,,2015
Elyas Dayee,Radio Free Europe/Radio Liberty,Afghanistan,Killed,Murder,2020-11-12,https://cpj.org/data/people/elyas-dayee-2/,Journalist,Confirmed,,2020
Emmanuel-Damien Rukondo,Rubyiruko-Rubanda,Rwanda,Killed,Murder,1994-04-24,https://cpj.org/data/people/emmanuel-damien-rukondo/,Journalist,Confirmed,,1994
Enenche Akogwu,Channels TV,Nigeria,Killed,Murder,2012-01-20,https://cpj.org/data/people/enenche-akogwu/,Journalist,Confirmed,,2012
Enzo Baldoni,Freelance,Iraq,Killed,Murder,2004-08-26,https://cpj.org/data/people/enzo-baldoni/,Journalist,Confirmed,,2004
Ernesto Acero Cadena,Informador Socioeconómico,Colombia,Killed,Murder,1995-12-12,https://cpj.org/data/people/ernesto-acero-cadena/,Journalist,Confirmed,,1995
Ernesto Maravilla,Bombo Radyo,Philippines,Killed,Murder,2009-11-23,https://cpj.org/data/people/ernesto-maravilla/,Journalist,Confirmed,,2009
Ernie Rollin,DXSY Radio,Philippines,Killed,Murder,2009-02-23,https://cpj.org/data/people/ernie-rollin/,Journalist,Confirmed,,2009
Erol Akgun,Devrimci Cozum,Turkey,Killed,Murder,1994-09-08,https://cpj.org/data/people/erol-akgun/,Journalist,Confirmed,,1994
Ersa Siregar,Rajawali Citra Televisi,Indonesia,Killed,Crossfire,2003-12-29,https://cpj.org/data/people/ersa-siregar/,Journalist,Confirmed,,2003
Essam Abdullah,Hawar News Agency,Syria,Killed,Crossfire,2022-11-20,https://cpj.org/data/people/essam-abdullah/,Journalist,Confirmed,,2022
Eudés Nshimiryo,TV Rwanda,Rwanda,Killed,Murder,1994-04-07,https://cpj.org/data/people/eudes-nshimiryo/,Journalist,Confirmed,,1994
Eustorgio Colmenares,La Opinión,Colombia,Killed,Murder,1993-03-12,https://cpj.org/data/people/eustorgio-colmenares/,Journalist,Confirmed,,1993
Evany José Metzker,Coruja do Vale,Brazil,Killed,Murder,2015-05-13,https://cpj.org/data/people/evany-jose-metzker/,Journalist,Confirmed,,2015
Evariste Djailoramdji,Lotiko Radio,Chad,Killed,Dangerous Assignment,2022-02-09,https://cpj.org/data/people/evariste-djailoramdji/,Journalist,Confirmed,,2022
Fabien Fortuné Bitoumbo,Radio Liberté,Republic of Congo,Killed,Murder,1998-08-29,https://cpj.org/data/people/fabien-fortune-bitoumbo/,Journalist,Confirmed,,1998
Fabio Polenghi,Freelance,Thailand,Killed,Dangerous Assignment,2010-05-19,https://cpj.org/data/people/fabio-polenghi/,Journalist,Confirmed,,2010
Facely Camara,Liberté FM,Guinea,Killed,Murder,2014-09-16,https://cpj.org/data/people/facely-camara/,Journalist,Confirmed,,2014
Fadel al-Hadidi,Mosul al-Youm; Sada al-Iraq,Iraq,Killed,Murder,2015-01-01,https://cpj.org/data/people/fadel-al-hadidi/,Journalist,Confirmed,,2015
Fadel Shana,Reuters,Israel and the Occupied Palestinian Territory,Killed,Crossfire,2008-04-16,https://cpj.org/data/people/fadel-shana/,Journalist,Confirmed,,2008
Fadhil Hazem Fadhil,Al-Hurriya,Iraq,Killed,Crossfire,2005-04-14,https://cpj.org/data/people/fadhil-hazem-fadhil/,Journalist,Confirmed,,2005
Fadi Hassouna,Al-Quds Al-Youm,Israel and the Occupied Palestinian Territory,Killed,Murder,2024-12-26,https://cpj.org/data/people/fadi-hassouna/,Journalist,Confirmed,,2024
Fadila Nejma,Echourouk,Algeria,Killed,Dangerous Assignment,2001-06-14,https://cpj.org/data/people/fadila-nejma/,Journalist,Confirmed,,2001
Faisal Abu Al Qumsan,Al-Quds Al-Youm,Israel and the Occupied Palestinian Territory,Killed,Murder,2024-12-26,https://cpj.org/data/people/faisal-abu-al-qumsan/,Journalist,Confirmed,,2024
Faisal Arefin Dipan,Jagriti Prokashoni,Bangladesh,Killed,Murder,2015-10-31,https://cpj.org/data/people/faisal-arefin-dipan/,Journalist,Confirmed,,2015
Faisal Qureshi,The London Post,Pakistan,Killed,Murder,2011-10-07,https://cpj.org/data/people/faisal-qureshi/,Journalist,Confirmed,,2011
Fakher Haider,The New York Times,Iraq,Killed,Murder,2005-09-19,https://cpj.org/data/people/fakher-haider/,Journalist,Confirmed,,2005
Falah Khalaf al-Diyali,Al-Sa'a,Iraq,Killed,Murder,2007-01-15,https://cpj.org/data/people/falah-khalaf-al-diyali/,Journalist,Confirmed,,2007
Farag Fouda,October,Egypt,Killed,Murder,1992-06-08,https://cpj.org/data/people/farag-fouda/,Journalist,Confirmed,,1992
Farah Omar,Al-Mayadeen TV,Lebanon,Killed,Dangerous Assignment,2023-11-21,https://cpj.org/data/people/farah-omar/,Journalist,Confirmed,,2023
Farah Ziane,Révolution Africaine,Algeria,Killed,Murder,1994-10-20,https://cpj.org/data/people/farah-ziane/,Journalist,Confirmed,,1994
Fares Hamadi,Eye on the Homeland,Turkey,Killed,Murder,2015-10-30,https://cpj.org/data/people/fares-hamadi/,Journalist,Confirmed,,2015
Farhad Taqaddosi,Press TV,Afghanistan,Killed,Crossfire,2011-09-20,https://cpj.org/data/people/farhad-taqaddosi/,Journalist,Confirmed,,2011
Farhan Jeemis Abdulle,Radio Daljir and Simba Radio,Somalia,Killed,Murder,2012-05-02,https://cpj.org/data/people/farhan-jeemis-abdulle/,Journalist,Confirmed,,2012
Farkhad Kerimov,Associated Press TV,Russia,Killed,Crossfire,1995-05-29,https://cpj.org/data/people/farkhad-kerimov/,Journalist,Confirmed,,1995
Farouk al-Zahir,Sudan TV,Sudan,Killed,Crossfire / Combat Related,2025-03-21,https://cpj.org/data/people/farouk-al-zahir/,Journalist,Confirmed,,2025
Fatma Hassona,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2025-04-16,https://cpj.org/data/people/fatma-hassona/,Journalist,Confirmed,,2025
Fausto Gabriel Alcaraz Garay,Radio Amambay,Paraguay,Killed,Murder,2014-05-16,https://cpj.org/data/people/fausto-gabriel-alcaraz-garay/,Journalist,Confirmed,,2014
Fazal Wahab,Freelance,Pakistan,Killed,Murder,2003-01-21,https://cpj.org/data/people/fazal-wahab/,Journalist,Confirmed,,2003
Federico Gempesaw,Radyo Natin 106.3 FM CDO,Philippines,Killed,Murder,2022-06-29,https://cpj.org/data/people/federico-gempesaw/,Journalist,Confirmed,,2022
Felix Solovyov,Freelance,Russia,Killed,Murder,1996-02-26,https://cpj.org/data/people/felix-solovyov/,Journalist,Confirmed,,1996
Feng Zhaoxia,Gejie Daobao,China,Killed,Murder,2001-01-15,https://cpj.org/data/people/feng-zhaoxia/,Journalist,Confirmed,,2001
Ferdinand Reyes,Press Freedom,Philippines,Killed,Murder,1996-02-13,https://cpj.org/data/people/ferdinand-reyes/,Journalist,Confirmed,,1996
Ferhat Cherkit,El Moudjahid,Algeria,Killed,Murder,1994-06-07,https://cpj.org/data/people/ferhat-cherkit/,Journalist,Confirmed,,1994
Ferhat Tepe,Ozgur Gundem,Turkey,Killed,Murder,1993-07-28,https://cpj.org/data/people/ferhat-tepe/,Journalist,Confirmed,,1993
Fernando Batul,DZRH and DYPR,Philippines,Killed,Murder,2006-05-22,https://cpj.org/data/people/fernando-batul/,Journalist,Confirmed,,2006
Fernando Marcelino,Jango,Angola,Killed,Murder,1992-10-20,https://cpj.org/data/people/fernando-marcelino/,Journalist,Confirmed,,1992
Fernando Razon,Periodico Ini,Philippines,Killed,Murder,2009-11-23,https://cpj.org/data/people/fernando-razon/,Journalist,Confirmed,,2009
Fernando Solijon,DxLS Love Radio,Philippines,Killed,Murder,2013-08-29,https://cpj.org/data/people/fernando-solijon/,Journalist,Confirmed,,2013
Ferzat Jarban,Freelance,Syria,Killed,Dangerous Assignment,2011-11-19,https://cpj.org/data/people/ferzat-jarban/,Journalist,Confirmed,,2011
"Fesshaye ""Joshua"" Yohannes",Setit,Eritrea,Killed,Dangerous Assignment,2007-01-01,https://cpj.org/data/people/fesshaye-joshua-yohannes/,Journalist,Confirmed,,2007
Fidaa al-Baali,Orient News,Syria,Killed,Crossfire,2013-07-05,https://cpj.org/data/people/fidaa-al-baali/,Journalist,Confirmed,,2013
Fidelis Ikwuebe,Freelancer,Nigeria,Killed,Murder,1999-04-18,https://cpj.org/data/people/fidelis-ikwuebe/,Journalist,Confirmed,,1999
Filadelfo Sánchez Sarmiento,La Favorita 103.3FM La Voz de la Sierra Sur,Mexico,Killed,Murder,2015-07-02,https://cpj.org/data/people/filadelfo-sanchez-sarmiento/,Journalist,Confirmed,,2015
Filaih Wuday Mijthab,Al-Sabah,Iraq,Killed,Murder,2007-06-17,https://cpj.org/data/people/filaih-wuday-mijthab/,Journalist,Confirmed,,2007
Filolisho Khilvatshoev,Payomi Dushanbe,Tajikistan,Killed,Murder,1992-12-01,https://cpj.org/data/people/filolisho-khilvatshoev/,Journalist,Confirmed,,1992
Firas al-Baher,Nineveh al-Ghad,Iraq,Killed,Murder,2015-05-01,https://cpj.org/data/people/firas-al-baher/,Journalist,Confirmed,,2015
Firas Maadidi,As-Saffir and Al-Masar,Iraq,Killed,Murder,2005-09-20,https://cpj.org/data/people/firas-maadidi/,Journalist,Confirmed,,2005
Firas Mohammed Attiyah,Fallujah TV,Iraq,Killed,Dangerous Assignment,2014-01-20,https://cpj.org/data/people/firas-mohammed-attiyah/,Journalist,Confirmed,,2014
Flavio Bedoya,Voz,Colombia,Killed,Murder,2001-04-27,https://cpj.org/data/people/flavio-bedoya/,Journalist,Confirmed,,2001
Flor Alba Núñez Vargas,Red Noticias and La Preferida Estereo,Colombia,Killed,Murder,2015-09-10,https://cpj.org/data/people/flor-alba-nunez-vargas/,Journalist,Confirmed,,2015
Francis Nyaruri,Weekly Citizen,Kenya,Killed,Murder,2009-01-01,https://cpj.org/data/people/francis-nyaruri/,Journalist,Confirmed,,2009
Francis Tomasic,Freelance,Bosnia,Killed,Crossfire,1994-05-01,https://cpj.org/data/people/francis-tomasic/,Journalist,Confirmed,,1994
Francisca Sandoval,Canal Señal 3 La Victoria,Chile,Killed,Dangerous Assignment,2022-05-12,https://cpj.org/data/people/francisca-sandoval/,Journalist,Confirmed,,2022
Francisco Arratia Saldierna,Freelance,Mexico,Killed,Murder,2004-08-31,https://cpj.org/data/people/francisco-arratia-saldierna/,Journalist,Confirmed,,2004
Francisco Castro Menco,Fundación Cultural,Colombia,Killed,Murder,1997-11-08,https://cpj.org/data/people/francisco-castro-menco/,Journalist,Confirmed,,1997
Francisco Gomes de Medeiros,Radio Caicó,Brazil,Killed,Murder,2010-10-18,https://cpj.org/data/people/francisco-gomes-de-medeiros/,Journalist,Confirmed,,2010
