fullName,organizations,location,status,typeOfDeath,Date,mtpage,type,motiveConfirmed,charges,Year
Abdulhadi Habib,"Al-Manara News Agency,HQ media",Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-16,https://cpj.org/data/people/abdulhadi-habib/,Journalist,Confirmed,,2023
Abdulkadir Ahmed,Freelance,Somalia,Killed,Murder,2014-12-05,https://cpj.org/data/people/abdulkadir-ahmed/,Journalist,Confirmed,,2014
Abdulkadir Mahad Moallim Kaskey,Radio Banadir,Somalia,Killed,Crossfire,2007-08-24,https://cpj.org/data/people/abdulkadir-mahad-moallim-kaskey/,Journalist,Confirmed,,2007
Abdulkhafar Abdulkadir,Freelance,Somalia,Killed,Crossfire,2009-12-03,https://cpj.org/data/people/abdulkhafar-abdulkadir/,Journalist,Confirmed,,2009
Abdullah al-Qadry,Belqees TV,Yemen,Killed,Crossfire,2018-04-13,https://cpj.org/data/people/abdullah-al-qadry/,Journalist,Confirmed,,2018
Abdullah Darwish,Al Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-01,https://cpj.org/data/people/abdullah-darwish/,Journalist,Confirmed,,2023
Abdullah Mire Hashi,Darul Sunnah,Somalia,Killed,Murder,2018-10-27,https://cpj.org/data/people/abdullah-mire-hashi/,Journalist,Confirmed,,2018
Abdullah Mohammad Ghannam,Shahba Press Agency,Syria,Killed,Crossfire,2016-07-14,https://cpj.org/data/people/abdullah-mohammad-ghannam/,Journalist,Confirmed,,2016
Abdullah Qabil,"Yemen Youth TV, Belqees TV",Yemen,Killed,Crossfire,2015-05-21,https://cpj.org/data/people/abdullah-qabil/,Journalist,Confirmed,,2015
Abdullahi Madkeer,DMC Radio,Somalia,Killed,Dangerous Assignment,2003-01-24,https://cpj.org/data/people/abdullahi-madkeer/,Journalist,Confirmed,,2003
Abdullahi Osman Moalim,"Jubbaland TV, Codka Hiraan",Somalia,Killed,Murder,2017-09-13,https://cpj.org/data/people/abdullahi-osman-moalim/,Journalist,Confirmed,,2017
Abdulmalik Akhmedilov,Hakikat and Sogratl,Russia,Killed,Murder,2009-08-11,https://cpj.org/data/people/abdulmalik-akhmedilov/,Journalist,Confirmed,,2009
Abdulrazak Hashim Ayal al-Khakani,Jumhuriyat al-Iraq,Iraq,Killed,Murder,2007-02-05,https://cpj.org/data/people/abdulrazak-hashim-ayal-al-khakani/,Journalist,Confirmed,,2007
Abshir Ali Gabre,Radio Jowhar,Somalia,Killed,Crossfire,2007-05-16,https://cpj.org/data/people/abshir-ali-gabre/,Journalist,Confirmed,,2007
Abu Taher Md Turab,"Daily Jalalabad, Daily Naya Diganta",Bangladesh,Killed,Dangerous Assignment,2024-07-19,https://cpj.org/data/people/abu-taher-md-turab/,Journalist,Confirmed,,2024
Abukar Hassan Mohamoud,Somaliweyn Radio,Somalia,Killed,Murder,2012-02-28,https://cpj.org/data/people/abukar-hassan-mohamoud/,Journalist,Confirmed,,2012
Achyutananda Sahu,Doordarshan,India,Killed,Crossfire,2018-10-30,https://cpj.org/data/people/achyutananda-sahu/,Journalist,Confirmed,,2018
