fullName,organizations,location,status,typeOfDeath,Date,mtpage,type,motiveConfirmed,charges,Year,Month
Ismail Al Ghoul,Al Jazeera Arabic,Israel and the Occupied Palestinian Territory,Killed,Murder,2024-07-31,https://cpj.org/data/people/ismail-al-ghoul/,Journalist,Confirmed,,2024,July
Issam Bhar,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-17,https://cpj.org/data/people/issam-bhar/,Journalist,Confirmed,,2023,October
Issam Tillawi,Voice of Palestine,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2002-09-22,https://cpj.org/data/people/issam-tillawi/,Journalist,Confirmed,,2002,September
Iyad El-Ruwagh,Al-Aqsa Voice Radio,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-01-25,https://cpj.org/data/people/iyad-el-ruwagh/,Journalist,Confirmed,,2024,January
Iyad Matar,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-01,https://cpj.org/data/people/iyad-matar/,Journalist,Confirmed,,2023,November
Jabr Abu Hadrous,Quds Al-Youm,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-29,https://cpj.org/data/people/jabr-abu-hadrous/,Journalist,Confirmed,,2023,December
Jamal Al-Faqaawi,Mithaq Media Foundation,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-25,https://cpj.org/data/people/jamal-al-faqaawi/,Journalist,Confirmed,,2023,October
Jamal Mohamed Haniyeh,Amwaj,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-21,https://cpj.org/data/people/jamal-mohamed-haniyeh/,Journalist,Confirmed,,2023,November
James Miller,Freelance,Israel and the Occupied Palestinian Territory,Killed,Crossfire,2003-05-02,https://cpj.org/data/people/james-miller/,Journalist,Confirmed,,2003,May
Khaled Reyadh Hamad,Continue Production Films,Israel and the Occupied Palestinian Territory,Killed,Crossfire,2014-07-20,https://cpj.org/data/people/khaled-reyadh-hamad/,Journalist,Confirmed,,2014,July
Khalil Abu Aathra,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-19,https://cpj.org/data/people/khalil-abu-aathra/,Journalist,Confirmed,,2023,October
Mahmoud al-Kumi,Al-Aqsa,Israel and the Occupied Palestinian Territory,Killed,Crossfire,2012-11-20,https://cpj.org/data/people/mahmoud-al-kumi/,Journalist,Confirmed,,2012,November
