fullName,organizations,location,status,typeOfDeath,Date,mtpage,type,motiveConfirmed,charges,Year,Month
Mohammed Al-Sharafi,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-12-18,https://cpj.org/data/people/mohammed-al-sharafi/,Journalist,Confirmed,,2024,December
Mohammed Al-Talmas,Safa News Agency,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2025-01-14,https://cpj.org/data/people/mohammed-al-talmas/,Journalist,Confirmed,,2025,January
Mohammed Al-Tanani,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-10-09,https://cpj.org/data/people/mohammed-al-tanani/,Journalist,Confirmed,,2024,October
Mohammed Ali,Al-Shabab Radio (Youth Radio),Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-20,https://cpj.org/data/people/mohammed-ali/,Journalist,Confirmed,,2023,October
Mohammed Atallah,"Al-Resalah,Raseef22",Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-01-29,https://cpj.org/data/people/mohammed-atallah/,Journalist,Confirmed,,2024,January
Mohammed Balousha,Al Mashhad Media,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-12-14,https://cpj.org/data/people/mohamed-balousha/,Journalist,Confirmed,,2024,December
Mohammed Bassam Al Jamal,Palestine Now,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-04-25,https://cpj.org/data/people/mohammed-al-jamal/,Journalist,Confirmed,,2024,April
Mohammed Imad Labad,Al Resalah,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-23,https://cpj.org/data/people/mohammed-imad-labad/,Journalist,Confirmed,,2023,October
Mohammed Issa Abu Saada,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-08-06,https://cpj.org/data/people/mohammed-issa-abu-saada/,Journalist,Confirmed,,2024,August
Mohammed Mansour,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2025-03-24,https://cpj.org/data/people/mohammed-mansour/,Journalist,Confirmed,,2025,March
Mohammed Sobh,“Khabar” News Agency,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-09,https://cpj.org/data/people/mohammed-sobh/,Journalist,Confirmed,,2023,October
Montaser Al-Sawaf,Anadolu Agency,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-01,https://cpj.org/data/people/montaser-al-sawaf/,Journalist,Confirmed,,2023,December
Mossab Ashour,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-18,https://cpj.org/data/people/mossab-ashour/,Journalist,Confirmed,,2023,November
Mostafa Al Sawaf,MSDR News,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-18,https://cpj.org/data/people/mostafa-al-sawaf/,Journalist,Confirmed,,2023,November
Mostafa Bakeer,Al Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-24,https://cpj.org/data/people/mostafa-bakeer/,Journalist,Confirmed,,2023,November
Moussa Al-Borsh,Namaa Radio,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-12,https://cpj.org/data/people/moussa-al-borsh/,Journalist,Confirmed,,2023,November
Muhammad al-Bishawi,"Najah Press Office, IslamOnline",Israel and the Occupied Palestinian Territory,Killed,Crossfire,2001-07-31,https://cpj.org/data/people/muhammad-al-bishawi/,Journalist,Confirmed,,2001,July
Muhammad Salama,Al Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-03-05,https://cpj.org/data/people/muhammad-salama/,Journalist,Confirmed,,2024,March
Mustafa Ayyad,"Freelance,Al Jazeera",Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-05-06,https://cpj.org/data/people/mustafa-ayyad/,Journalist,Confirmed,,2024,May
Mustafa Bahr,Palestine Breaking News,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-03-31,https://cpj.org/data/people/mustafa-bahr/,Journalist,Confirmed,,2024,March
Mustafa Thuraya,Freelance,Israel and the Occupied Palestinian Territory,Killed,Murder,2024-01-07,https://cpj.org/data/people/mustafa-thuraya/,Journalist,Confirmed,,2024,January
Nadia Emad Al Sayed,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-10-27,https://cpj.org/data/people/nadia-emad-al-sayed/,Journalist,Confirmed,,2024,October
Nafez Abdel Jawad,Palestine TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-02-08,https://cpj.org/data/people/nafez-abdel-jawad/,Journalist,Confirmed,,2024,February
Nazih Darwazeh,APTN,Israel and the Occupied Palestinian Territory,Killed,Crossfire,2003-04-19,https://cpj.org/data/people/nazih-darwazeh/,Journalist,Confirmed,,2003,April
Nour Abu Oweimer,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-10-03,https://cpj.org/data/people/nour-abu-oweimer/,Journalist,Confirmed,,2024,October
Noureddine Abdo,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2025-05-07,https://cpj.org/data/people/noureddine-abdo/,Journalist,Confirmed,,2025,May
Ola Al Dahdouh,Sawt al Watan,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-05-31,https://cpj.org/data/people/ola-al-dahdouh/,Journalist,Confirmed,,2024,May
Ola Atallah,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-09,https://cpj.org/data/people/ola-atallah/,Journalist,Confirmed,,2023,December
Omar Al Dirawi,Fourth Estate,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2025-01-03,https://cpj.org/data/people/omar-al-dirawi/,Journalist,Confirmed,,2025,January
Raffaele Ciriello,Freelance,Israel and the Occupied Palestinian Territory,Killed,Crossfire,2002-03-13,https://cpj.org/data/people/raffaele-ciriello/,Journalist,Confirmed,,2002,March
Rami Al Refee,Freelance,Israel and the Occupied Palestinian Territory,Killed,Murder,2024-07-31,https://cpj.org/data/people/rami-al-refee/,Journalist,Confirmed,,2024,July
Rami Rayan,Palestine Network for Press and Media,Israel and the Occupied Palestinian Territory,Killed,Crossfire,2014-07-30,https://cpj.org/data/people/rami-rayan/,Journalist,Confirmed,,2014,July
Rasheed Albably,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-06-06,https://cpj.org/data/people/rasheed-albably/,Journalist,Confirmed,,2024,June
Rizq Al-Gharabli,Palestinian Information Center,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-02-06,https://cpj.org/data/people/rizq-al-gharabli/,Journalist,Confirmed,,2024,February
Roee Idan,Ynet,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-20,https://cpj.org/data/people/roee-idan/,Journalist,Confirmed,,2023,October
Roshdi Sarraj,Ain Media,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-22,https://cpj.org/data/people/roshdi-sarraj/,Journalist,Confirmed,,2023,October
Saadi Madoukh,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-07-05,https://cpj.org/data/people/saadi-madoukh/,Journalist,Confirmed,,2024,July
Saed Abu Nabhan,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2025-01-10,https://cpj.org/data/people/saed-abu-nabhan/,Journalist,Confirmed,,2025,January
